Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,BBB
236.48,3,2,1.8,0,58.6,1
100.2,0,0,3.7,0,0,1
100.2,0,0,3.7,0,0,1
114.23,0,0,4.3,0,0,1
346.5,4,2,2.7,0,74.6,1
151.16,2,2,0.7,0,49.3,1
130.18,2,0,1.9,0,26.3,1
167.8,0,0,2.7,0,0,1
281.3,5,0,0.9,0,57.2,1
102.17,1,0,1.4,0,9.2,1
409.6,5,0,5,0,52.1,1
204.22,2,0,1.5,0,41.9,1
192.96,4,0,2.1,0,9.2,1
336.3,4,1,3.3,0,83.6,1
240.3,2,2,2.2,0,55.1,1
396.5,4,1,3.6,0,49.4,1
102.03,4,0,1.7,0,0,1
335.2,3,1,2.4,0,52.9,1
358.4,5,1,3.5,0,35.9,1
142.28,0,0,5.3,0,0,1
140.27,0,0,5.7,0,0,1
271.27,5,3,0.5,0,128,1
286.71,3,1,2.3,0,52.9,1
162.15,4,1,1.1,0,59.2,1
193.25,2,2,1.1,0,73.6,1
204.31,4,4,-0.1,0,64.5,0
368.5,8,4,1.2,0,157,1
245.36,2,0,3.8,0,20.3,1
280.39,4,1,1.9,0,71.8,1
215.33,1,1,3.3,0,12,1
217.35,1,0,4,0,3.2,1
285.4,4,0,3.4,0,44.7,1
321.5,2,1,3.8,0,23.5,1
1449.2,26,19,-2.6,0,531,0
867,12,4,2.8,0,228,0
430.7,2,1,10.7,0,29.5,1
337.4,5,0,2.8,0,65.1,1
353.5,3,0,4.3,0,29.5,1
356.4,5,0,3.6,0,32.8,1
339.5,3,0,4.2,0,29.5,1
263.35,3,0,3.3,0,20.3,1
88.15,1,0,0.9,0,9.2,1
327.4,5,0,3.3,0,36.4,1
221.25,3,1,2.2,0,47.6,1
142.28,0,0,5,0,0,1
267.4,2,2,2.9,0,32.3,1
